timestamp,station_id,water_level,datum,units,lat,lon,source
2024-01-01 00:00:00+00:00,DEMO-HNL,-0.5392,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 00:06:00+00:00,DEMO-HNL,-0.5248,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 00:12:00+00:00,DEMO-HNL,-0.4941,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 00:18:00+00:00,DEMO-HNL,-0.5003,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 00:24:00+00:00,DEMO-HNL,-0.4909,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 00:30:00+00:00,DEMO-HNL,-0.5037,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 00:36:00+00:00,DEMO-HNL,-0.4645,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 00:42:00+00:00,DEMO-HNL,-0.4613,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 00:48:00+00:00,DEMO-HNL,-0.4698,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 00:54:00+00:00,DEMO-HNL,-0.4422,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 01:00:00+00:00,DEMO-HNL,-0.4484,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 01:06:00+00:00,DEMO-HNL,-0.4674,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 01:12:00+00:00,DEMO-HNL,-0.4347,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 01:18:00+00:00,DEMO-HNL,-0.4526,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 01:24:00+00:00,DEMO-HNL,-0.4066,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 01:30:00+00:00,DEMO-HNL,-0.4154,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 01:36:00+00:00,DEMO-HNL,-0.4079,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 01:42:00+00:00,DEMO-HNL,-0.407,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 01:48:00+00:00,DEMO-HNL,-0.3577,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 01:54:00+00:00,DEMO-HNL,-0.3736,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 02:00:00+00:00,DEMO-HNL,-0.3669,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 02:06:00+00:00,DEMO-HNL,-0.3528,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 02:12:00+00:00,DEMO-HNL,-0.3221,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 02:18:00+00:00,DEMO-HNL,-0.3121,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 02:24:00+00:00,DEMO-HNL,-0.2974,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 02:30:00+00:00,DEMO-HNL,-0.2829,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 02:36:00+00:00,DEMO-HNL,-0.2343,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 02:42:00+00:00,DEMO-HNL,-0.2706,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 02:48:00+00:00,DEMO-HNL,-0.2577,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 02:54:00+00:00,DEMO-HNL,-0.2486,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 03:00:00+00:00,DEMO-HNL,-0.2045,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 03:06:00+00:00,DEMO-HNL,-0.1787,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 03:12:00+00:00,DEMO-HNL,-0.1877,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
2024-01-01 03:18:00+00:00,DEMO-HNL,-0.1863,MLLW,m,21.3069,-157.8583,DEMO_SYNTHETIC
